task_id,title,category,tags,street,city,governorate,country,address,rating,deadline,price,status,description
16,3D Animation Production,animation,"['visual effects', 'visual effects', 'motion graphics', 'motion graphics']",El Thawra Street,Mansoura,Dakahlia,Egypt,"35 El Thawra Street, Mansoura, Dakahlia, Egypt",2,2024-03-15,660,pending,"Character Animation Rigging: Rig and animate characters for 2D and 3D animation projects, including bipedal and quadrupedal characters, creatures, and mechanical objects. Build rigging systems, controls, and deformations to facilitate character movement, expression, and performance."
17,Market Research and Analysis,marketing,"['campaigns', 'advertising']", El Obour Street,Giza,Giza,Egypt,"90  El Obour Street, Giza, Giza, Egypt",8,2024-03-31,835,cancelled,"Stay informed about market developments, emerging trends, regulatory changes, and competitive threats through continuous monitoring, analysis, and synthesis of relevant information."
18,entertainment centers,furniture assembly,"['custom builds', 'installation', 'flat pack']",Ahmed Orabi Street,Damietta,Damietta,Egypt,"45 Ahmed Orabi Street, Damietta, Damietta, Egypt",6,2024-04-13,200,cancelled,"Utilize appropriate tools and techniques to safely assemble furniture components, including screws, bolts, dowels, and fasteners."
19,Financial Statement Analysis,accounting,"['financial statements', 'audit', 'taxes', 'audit']",El Nasr Street,Luxor,Qena,Egypt,"24 El Nasr Street, Luxor, Qena, Egypt",7,2024-01-03,895,cancelled,"Tax Planning and Preparation: Provide comprehensive tax planning and preparation services for individuals, businesses, and organizations to minimize tax liabilities, maximize deductions, and ensure compliance with tax laws and regulations. Prepare and file tax returns, including income tax, payroll tax, sales tax, and property tax filings."
20,SEO Optimization Services,SEO services,"['keywords', 'rankings', 'search engine optimization', 'content']",Abu Bakr El Seddik Street,Akhmim,Sohag,Egypt,"29 Abu Bakr El Seddik Street, Akhmim, Sohag, Egypt",3,2024-05-16,135,pending,"Conduct keyword research, competitor analysis, and site audits to identify SEO opportunities, gaps, and areas for improvement."
21,Legal Writing and Documentation Services,legal writing services,"['contracts', 'agreements', 'agreements', 'policies', 'terms']",July 26th Street,Hurghada,Red Sea,Egypt,"53 July 26th Street, Hurghada, Red Sea, Egypt",6,2024-03-17,850,cancelled,"Prepare persuasive legal briefs, motions, and pleadings for court proceedings, administrative hearings, and alternative dispute resolution processes, presenting clients' cases effectively and compellingly."
22,Content Creation Services,content creation,"['writing', 'social media']",Ahmed Orabi Street,Ain Shams,Sharqia,Egypt,"80 Ahmed Orabi Street, Ain Shams, Sharqia, Egypt",4,2024-01-18,710,done,"Tailor content to specific platforms, audiences, and objectives, optimizing it for search engines, social sharing, and user engagement."
23,Home Maintenance Assistance,home maintenance,"['fixes', 'handyman', 'upkeep', 'handyman']", El Obour Street,Zagazig,Sharqia,Egypt,"80  El Obour Street, Zagazig, Sharqia, Egypt",6,2024-04-05,265,pending,"Repair minor issues such as leaky faucets, squeaky doors, loose handles, and faulty electrical outlets to prevent further damage."
24,Education Content Creation,online course creation,"['content', 'content']",Al Nile Street,Giza,Cairo,Egypt,"26 Al Nile Street, Giza, Cairo, Egypt",9,2024-03-14,770,done,"Assessment and Feedback Systems: Develop assessment tools and feedback mechanisms to evaluate student learning outcomes, track progress, and provide timely feedback. Create quizzes, exams, assignments, and peer-review activities that assess student knowledge, skills, and competencies."
25,Education Content Creation,online course creation,"['education', 'lessons']",Al Ahram Street,Tal El Kabir,Ismailia,Egypt,"68 Al Ahram Street, Tal El Kabir, Ismailia, Egypt",1,2024-01-02,335,pending,"Content Platform Integration: Integrate course content with online learning platforms such as Moodle, Canvas, or Blackboard, ensuring compatibility, accessibility, and seamless user experience. Upload, organize, and manage course materials, assessments, and student interactions within the platform."
26,Content Creation Services,content creation,"['blogging', 'graphics', 'blogging', 'social media']",Al-Azhar Street,Asyut,Asyut,Egypt,"02 Al-Azhar Street, Asyut, Asyut, Egypt",5,2024-04-22,30,done,"Create engaging and relevant content that resonates with target audiences, communicates brand messages, and drives audience engagement, traffic, and conversions."
27,Financial Statement Analysis,accounting,['management'],El Thawra Street,Cairo,Cairo,Egypt,"19 El Thawra Street, Cairo, Cairo, Egypt",3,2024-01-04,820,pending,"Tax Planning and Preparation: Provide comprehensive tax planning and preparation services for individuals, businesses, and organizations to minimize tax liabilities, maximize deductions, and ensure compliance with tax laws and regulations. Prepare and file tax returns, including income tax, payroll tax, sales tax, and property tax filings."
28,Web Application Development,development,"['software', 'software', 'web', 'applications']",El Kornish Street,Banha,Qalyubia,Egypt,"53 El Kornish Street, Banha, Qalyubia, Egypt",6,2024-03-05,960,pending,"Cross-Browser Compatibility Testing: Conduct cross-browser compatibility testing to ensure website functionality and performance consistency across different web browsers such as Chrome, Firefox, Safari, and Edge. Identify and resolve compatibility issues related to HTML, CSS, JavaScript, and browser rendering engines."
29,Legal Writing and Documentation Services,legal writing services,"['terms', 'contracts', 'contracts', 'agreements']",El Galaa Street,Fayed,Ismailia,Egypt,"38 El Galaa Street, Fayed, Ismailia, Egypt",4,2024-01-29,565,done,"Offer professional legal writing and documentation services for law firms, businesses, and individuals, including contracts, agreements, legal briefs, memos, opinions, and court documents."
30,Furniture Assembly Assistance,furniture assembly,"['installation', 'flat pack']",Ahmed Orabi Street,Al-Wasta,Beni Suef,Egypt,"98 Ahmed Orabi Street, Al-Wasta, Beni Suef, Egypt",6,2024-04-26,110,pending,"Assemble a wide range of furniture pieces such as beds, sofas, tables, chairs, desks and shelves."
31,Language Lessons,language teaching,['tutoring'],Salah Salem Street,Qena,Qena,Egypt,"71 Salah Salem Street, Qena, Qena, Egypt",3,2024-05-03,30,cancelled,"Cultural Exchange Programs: Organize cultural exchange programs and language immersion experiences for students to learn about different cultures, traditions, and customs while practicing language skills in authentic settings. Plan and coordinate international exchange trips, homestays, and cultural activities."
32,Financial Statement Analysis,accounting,"['audit', 'taxes', 'management']",Gamal Abdel Nasser Street,Maghagha,Minya,Egypt,"03 Gamal Abdel Nasser Street, Maghagha, Minya, Egypt",3,2024-05-10,190,pending,"Financial Advisory Services: Provide personalized financial advisory services to individuals and families, including investment advice, retirement planning, estate planning, and wealth management. Develop customized financial plans and investment portfolios tailored to clients' financial goals, risk tolerance, and time horizon."
33,Data Entry and Analysis Services,data entry,"['database', 'spreadsheets', 'input', 'spreadsheets', 'typing']",Al Horreya Street,El Hamam,Matrouh,Egypt,"56 Al Horreya Street, El Hamam, Matrouh, Egypt",2,2024-03-13,145,open,"Utilize data visualization tools and techniques to present findings in clear and compelling formats, such as charts, graphs, dashboards, and reports."
34,Legal Writing and Documentation Services,legal writing services,['terms'],Talaat Harb Street,Aswan,Aswan,Egypt,"60 Talaat Harb Street, Aswan, Aswan, Egypt",8,2024-01-31,425,done,"Provide professional editing, proofreading, and document review services to ensure accuracy, consistency, and compliance with legal standards and conventions."
35,Home Maintenance Assistance,home maintenance,"['handyman', 'repairs', 'inspection', 'handyman', 'repairs']",El Nozha Street,Borg El Arab,Alexandria,Egypt,"01 El Nozha Street, Borg El Arab, Alexandria, Egypt",7,2024-01-10,625,pending,"Perform routine maintenance tasks such as HVAC filter replacement, smoke detector testing, and water heater flushing to ensure home safety and efficiency."
36,Language Lessons,language teaching,"['bilingual', 'lessons', 'bilingual', 'lessons', 'lessons']",Lebanon Street,Kafr Abdou,Alexandria,Egypt,"06 Lebanon Street, Kafr Abdou, Alexandria, Egypt",9,2024-02-22,730,pending,"Cultural Exchange Programs: Organize cultural exchange programs and language immersion experiences for students to learn about different cultures, traditions, and customs while practicing language skills in authentic settings. Plan and coordinate international exchange trips, homestays, and cultural activities."
37,International Shipping Solutions,shipping,['freight'],El Nozha Street,Ain Shams,Sharqia,Egypt,"43 El Nozha Street, Ain Shams, Sharqia, Egypt",7,2024-04-21,635,pending,"Coordinate the shipment of goods and merchandise to destinations worldwide, including customs clearance and documentation."
38,Furniture Assembly Assistance,furniture assembly,['flat pack'],El Nasr Street,Armant,Luxor,Egypt,"68 El Nasr Street, Armant, Luxor, Egypt",6,2024-04-16,695,done,"Offer efficient and reliable furniture assembly assistance for residential and commercial clients, including IKEA furniture and other flat-pack items."
39,Language Lessons,language teaching,"['tutoring', 'bilingual']",Al Nile Street,Sers El-Lyan,Monufia,Egypt,"70 Al Nile Street, Sers El-Lyan, Monufia, Egypt",4,2024-02-08,640,cancelled,"Cultural Exchange Programs: Organize cultural exchange programs and language immersion experiences for students to learn about different cultures, traditions, and customs while practicing language skills in authentic settings. Plan and coordinate international exchange trips, homestays, and cultural activities."
40,Social Media Marketing Campaign,social media management,"['posts', 'analytics', 'ads', 'engagement']",Al-Azhar Street,Ain Shams,Sharqia,Egypt,"26 Al-Azhar Street, Ain Shams, Sharqia, Egypt",2,2024-04-28,565,open,"Monitor social media performance metrics, such as reach, engagement, clicks, conversions, and ROI, using analytics tools to measure campaign effectiveness and optimize strategies for maximum impact."
41,electrical help,development,['web'],El Thawra Street,Tamiya,Faiyum,Egypt,"88 El Thawra Street, Tamiya, Faiyum, Egypt",1,2024-04-13,895,cancelled,"Wiring Upgrade Service: Upgrade outdated wiring systems in residential and commercial properties to improve safety, efficiency, and compliance with electrical codes. Replace old wiring, circuit breakers, and outlets with modern, energy-efficient components."
42,SEO Optimization Services,SEO services,"['keywords', 'content']",El Gaish Street,Ibsheway,Faiyum,Egypt,"88 El Gaish Street, Ibsheway, Faiyum, Egypt",9,2024-01-25,675,pending,"Implement off-page SEO strategies such as link building, social bookmarking, and directory submissions to increase website authority, credibility, and trustworthiness."
43,Landscape Design and Installation,gardening services,"['maintenance', 'planting', 'design', 'planting']",El Nozha Street,Banha,Qalyubia,Egypt,"85 El Nozha Street, Banha, Qalyubia, Egypt",10,2024-01-10,735,open,"Provide ongoing maintenance services such as pruning, mulching, fertilizing, and seasonal cleanups to preserve the beauty and health of landscaped areas."
44,Express Delivery Service,delivery,"['packages', 'same-day delivery']",Gezira Street,Bir al-Abed,North Sinai,Egypt,"44 Gezira Street, Bir al-Abed, North Sinai, Egypt",3,2024-04-30,490,open,Ensure prompt pickup and delivery of items within designated timeframes and locations.
45,Mobile Car Wash Service,car washing,"['interior cleaning', 'auto detailing']",El Nasr Street,El Hamam,Matrouh,Egypt,"50 El Nasr Street, El Hamam, Matrouh, Egypt",9,2024-05-09,975,open,"Clean and polish car surfaces to remove dirt, grime, dust, and stains, leaving vehicles spotless and shiny."
46,Financial Statement Analysis,accounting,"['consulting', 'management']",Al Horreya Street,Bani Mazar,Minya,Egypt,"14 Al Horreya Street, Bani Mazar, Minya, Egypt",2,2024-05-05,25,cancelled,"Management Consulting Services: Offer management consulting services to help businesses optimize financial performance, streamline operations, and achieve strategic objectives. Provide expert advice and recommendations on budgeting, forecasting, cost analysis, and profitability improvement strategies."
47,International Shipping Solutions,shipping,"['domestic', 'freight', 'logistics', 'transportation']", El Obour Street,Tamiya,Faiyum,Egypt,"69  El Obour Street, Tamiya, Faiyum, Egypt",7,2024-02-10,740,done,Ensure compliance with international shipping regulations and standards to facilitate smooth and hassle-free delivery.
48,Blockchain Development Services,blockchain,"['decentralized', 'network', 'decentralized', 'distributed']",Ahmed Orabi Street,Fayed,Ismailia,Egypt,"13 Ahmed Orabi Street, Fayed, Ismailia, Egypt",6,2024-02-10,805,pending,"Implement blockchain protocols such as Ethereum, Hyperledger Fabric, and Corda, to build scalable, interoperable, and secure blockchain infrastructures for various applications and industries."
49,Market Research and Analysis,marketing,['strategy'],Gezira Street,Al-Hawamidiyya,Giza,Egypt,"66 Gezira Street, Al-Hawamidiyya, Giza, Egypt",9,2024-01-11,880,cancelled,"Develop competitive intelligence profiles, market segmentation models, customer personas, and SWOT analyses to inform marketing strategies, product development, and business planning initiatives."
50,Social Media Marketing Campaign,social media management,"['branding', 'ads', 'engagement', 'ads']",Al Nahda Street,Bir al-Abed,North Sinai,Egypt,"12 Al Nahda Street, Bir al-Abed, North Sinai, Egypt",3,2024-02-25,635,open,"Provide strategic recommendations and insights based on social media data analysis, industry trends, and competitive benchmarks to guide decision-making and achieve marketing objectives."
51,Market Research and Analysis,marketing,['SEO'],Al-Azhar Street,Bir al-Abed,North Sinai,Egypt,"09 Al-Azhar Street, Bir al-Abed, North Sinai, Egypt",6,2024-01-05,60,open,"Stay informed about market developments, emerging trends, regulatory changes, and competitive threats through continuous monitoring, analysis, and synthesis of relevant information."
52,SEO Optimization Services,SEO services,"['content', 'traffic', 'traffic', 'keywords', 'content']",El Thawra Street,Marsa Matruh,Matrouh,Egypt,"33 El Thawra Street, Marsa Matruh, Matrouh, Egypt",6,2024-03-15,355,open,"Optimize on-page elements such as meta tags, headings, content, and internal links to enhance website relevance, authority, and crawlability for target keywords and topics."
53,Mobile App Development Services,development,"['programming', 'applications', 'web', 'applications']",Abu Bakr El Seddik Street,Minya,Minya,Egypt,"48 Abu Bakr El Seddik Street, Minya, Minya, Egypt",9,2024-04-12,815,cancelled,"Develop robust and scalable mobile app solutions using industry best practices, coding standards, and frameworks, leveraging technologies such as Swift, Kotlin, React Native, and Flutter."
54,Abstract Canvas Painting,painting,"['residential', 'interior', 'commercial', 'commercial']",Abu Bakr El Seddik Street,Cairo,Cairo,Egypt,"06 Abu Bakr El Seddik Street, Cairo, Cairo, Egypt",1,2024-01-25,285,done,"Create stunning abstract canvas paintings using acrylics, oils, or mixed media techniques."
55,Mobile App Development Services,development,"['web', 'web', 'programming', 'mobile', 'software']",El Nasr Street,Kom Ombo,Aswan,Egypt,"88 El Nasr Street, Kom Ombo, Aswan, Egypt",4,2024-02-08,195,open,"Provide ongoing support, updates, and enhancements for mobile apps, including bug fixes, performance optimization, feature enhancements, and platform upgrades, to ensure long-term success and user satisfaction."
56,Social Media Marketing Campaign,social media management,"['branding', 'posts']",El Thawra Street,Port Said,Port Said,Egypt,"61 El Thawra Street, Port Said, Port Said, Egypt",10,2024-03-07,480,open,"Provide strategic recommendations and insights based on social media data analysis, industry trends, and competitive benchmarks to guide decision-making and achieve marketing objectives."
57,Blockchain Development Services,blockchain,"['distributed', 'blockchain', 'decentralized', 'Ethereum']",El Haram Street,Ashmoun,Monufia,Egypt,"58 El Haram Street, Ashmoun, Monufia, Egypt",10,2024-03-05,50,cancelled,"Provide blockchain consulting services, including feasibility assessments, architecture design, implementation strategy, and regulatory compliance, to help clients navigate the complexities of blockchain adoption and implementation."
58,Furniture Assembly Assistance,furniture assembly,"['installation', 'setup', 'custom builds']",El Gaish Street,Dar El Salam,Sohag,Egypt,"78 El Gaish Street, Dar El Salam, Sohag, Egypt",4,2024-03-24,665,cancelled,"Assemble a wide range of furniture pieces such as beds, sofas, tables, chairs, desks and shelves."
59,Legal Writing and Documentation Services,legal writing services,"['policies', 'policies', 'contracts', 'documentation']",Gezira Street,Kom Ombo,Aswan,Egypt,"40 Gezira Street, Kom Ombo, Aswan, Egypt",9,2024-04-26,700,cancelled,"Offer professional legal writing and documentation services for law firms, businesses, and individuals, including contracts, agreements, legal briefs, memos, opinions, and court documents."
60,Kitchen Plumbing Installation,plumbing,"['water systems', 'water systems', 'maintenance', 'water systems']",Ahmed Orabi Street,Dakhla,New Valley,Egypt,"30 Ahmed Orabi Street, Dakhla, New Valley, Egypt",2,2024-04-27,965,open,"Install new plumbing fixtures in the kitchen area, including sinks, faucets, and garbage disposals."
61,Kitchen Plumbing Installation,plumbing,"['repairs', 'maintenance']",Lebanon Street,Sers El-Lyan,Monufia,Egypt,"58 Lebanon Street, Sers El-Lyan, Monufia, Egypt",2,2024-05-02,240,open,Connect water supply lines and drainage pipes to ensure proper functioning of kitchen plumbing systems.
62,Wooden Furniture Restoration,carpentry,['furniture'],Al Ahram Street,Qalyub,Qalyubia,Egypt,"20 Al Ahram Street, Qalyub, Qalyubia, Egypt",3,2024-04-19,975,open,"Refurbish wooden chairs, tables, cabinets, and other furniture items to look brand new."
63,Furniture Assembly Assistance,furniture assembly,"['repair', 'repair', 'setup']",Talaat Harb Street,Faraskur,Damietta,Egypt,"50 Talaat Harb Street, Faraskur, Damietta, Egypt",6,2024-01-13,130,open,"Offer efficient and reliable furniture assembly assistance for residential and commercial clients, including IKEA furniture and other flat-pack items."
64,Content Creation Services,content creation,"['writing', 'social media', 'graphics']",El Thawra Street,Aswan,Aswan,Egypt,"37 El Thawra Street, Aswan, Aswan, Egypt",6,2024-01-27,525,cancelled,"Tailor content to specific platforms, audiences, and objectives, optimizing it for search engines, social sharing, and user engagement."
65,Web Application Development,development,"['programming', 'applications', 'programming', 'programming']",Abu Bakr El Seddik Street,El Hamam,Matrouh,Egypt,"42 Abu Bakr El Seddik Street, El Hamam, Matrouh, Egypt",6,2024-02-21,130,open,"SEO-Friendly Design Strategies: Implement SEO best practices and strategies into web design projects to improve search engine visibility, organic traffic, and ranking performance. Optimize on-page elements, metadata, site structure, and URL structures to enhance crawlability, indexability, and relevance for target keywords."
66,electrical help,development,['applications'], El Obour Street,Ataqah,Suez,Egypt,"86  El Obour Street, Ataqah, Suez, Egypt",4,2024-03-15,95,cancelled,"Wiring Upgrade Service: Upgrade outdated wiring systems in residential and commercial properties to improve safety, efficiency, and compliance with electrical codes. Replace old wiring, circuit breakers, and outlets with modern, energy-efficient components."
67,Electrical Troubleshooting Services,electrical help,"['troubleshooting', 'wiring']",Salah Salem Street,Dar El Salam,Sohag,Egypt,"21 Salah Salem Street, Dar El Salam, Sohag, Egypt",8,2024-01-28,825,pending,"Perform electrical repairs, upgrades, and modifications to enhance system performance, reliability, and safety."
68,SEO Optimization Services,SEO services,"['content', 'keywords', 'search engine optimization', 'rankings', 'rankings']",Lebanon Street,Giza,Cairo,Egypt,"66 Lebanon Street, Giza, Cairo, Egypt",2,2024-02-12,390,pending,"Offer comprehensive SEO optimization services to improve website visibility, traffic, and rankings on major search engines such as Google, Bing, and Yahoo."
69,International Shipping Solutions,shipping,"['transportation', 'international']",El Gaish Street,Rafah,North Sinai,Egypt,"68 El Gaish Street, Rafah, North Sinai, Egypt",10,2024-03-09,590,done,Offer comprehensive international shipping solutions for businesses and individuals.
70,SEO Optimization Services,SEO services,"['search engine optimization', 'content', 'search engine optimization', 'keywords']",Al Horreya Street,Akhmim,Sohag,Egypt,"30 Al Horreya Street, Akhmim, Sohag, Egypt",2,2024-05-16,610,done,"Monitor SEO performance metrics such as organic traffic, keyword rankings, backlink profile, and conversion rates using analytics tools to measure success and refine strategies over time."
71,SEO Optimization Services,SEO services,"['content', 'content', 'content']",Al Nile Street,Shubra El-Kheima,Qalyubia,Egypt,"98 Al Nile Street, Shubra El-Kheima, Qalyubia, Egypt",9,2024-04-28,385,pending,"Offer comprehensive SEO optimization services to improve website visibility, traffic, and rankings on major search engines such as Google, Bing, and Yahoo."
72,Market Research and Analysis,marketing,['promotion'],October Street,Shubra El-Kheima,Qalyubia,Egypt,"61 October Street, Shubra El-Kheima, Qalyubia, Egypt",8,2024-03-26,890,done,"Collect and analyze primary and secondary research sources, including surveys, interviews, focus groups, industry reports, and market data, to identify opportunities, threats, and growth drivers."
73,Generative AI Solutions,generative AI,"['automation', 'automation', 'machine learning']",Lebanon Street,Tanta,Gharbia,Egypt,"79 Lebanon Street, Tanta, Gharbia, Egypt",3,2024-04-03,130,pending,"Implement generative AI systems that can autonomously create art, music, stories, and designs in various styles, genres, and formats, mimicking human creativity and imagination."
74,Social Media Marketing Campaign,social media management,"['ads', 'engagement', 'branding', 'ads', 'ads']",Ahmed Orabi Street,Ashmoun,Monufia,Egypt,"43 Ahmed Orabi Street, Ashmoun, Monufia, Egypt",8,2024-02-17,130,pending,"Create compelling content, including posts, images, videos, and stories, that resonates with target audiences and drives user engagement, sharing, and interaction."
75,Blockchain Development Services,blockchain,"['network', 'Ethereum', 'Ethereum']",El Nozha Street,El Hamam,Matrouh,Egypt,"61 El Nozha Street, El Hamam, Matrouh, Egypt",1,2024-01-26,195,cancelled,"Design and develop custom blockchain solutions, including public and private networks, smart contracts, tokens, and decentralized applications (DApps), tailored to specific use cases and industry requirements."
76,Financial Statement Analysis,accounting,"['audit', 'taxes', 'audit']",Al Nahda Street,Sohag,Asyut,Egypt,"21 Al Nahda Street, Sohag, Asyut, Egypt",8,2024-01-26,640,cancelled,"Financial Statement Analysis: Analyze financial statements such as balance sheets, income statements, and cash flow statements to evaluate the financial health, performance, and profitability of businesses. Identify trends, variances, and key financial metrics to support decision-making, forecasting, and strategic planning."
77,Local Moving Assistance,moving,['unpacking'],El Haram Street,Dar El Salam,Sohag,Egypt,"86 El Haram Street, Dar El Salam, Sohag, Egypt",4,2024-01-26,675,open,Pack and organize belongings safely and securely to prevent damage during transit.
78,SEO Optimization Services,SEO services,"['traffic', 'keywords']",El Galaa Street,Al-Wasta,Beni Suef,Egypt,"34 El Galaa Street, Al-Wasta, Beni Suef, Egypt",4,2024-02-05,380,done,"Conduct keyword research, competitor analysis, and site audits to identify SEO opportunities, gaps, and areas for improvement."
79,Abstract Canvas Painting,painting,"['commercial', 'exterior', 'interior', 'residential', 'exterior']",El Gaish Street,Kafr Abdou,Alexandria,Egypt,"02 El Gaish Street, Kafr Abdou, Alexandria, Egypt",7,2024-04-16,990,done,"Provide high-quality abstract canvas paintings for home decor, office spaces, galleries, and exhibitions."
80,3D Animation Production,animation,"['motion graphics', 'motion graphics', 'visual effects']",Ahmed Orabi Street,Al-Zohra,Port Said,Egypt,"47 Ahmed Orabi Street, Al-Zohra, Port Said, Egypt",1,2024-03-16,880,open,"Storyboard Development: Develop storyboards and animatics to visualize and plan animation sequences, shot compositions, and narrative flow. Create sketches, thumbnails, and animatics to storyboard key scenes, camera angles, and character actions for animation projects."
81,Financial Statement Analysis,accounting,"['consulting', 'financial statements', 'audit']",Al Horreya Street,Ras El Bar,Kafr El Sheikh,Egypt,"83 Al Horreya Street, Ras El Bar, Kafr El Sheikh, Egypt",1,2024-03-29,635,pending,"Tax Planning and Preparation: Provide comprehensive tax planning and preparation services for individuals, businesses, and organizations to minimize tax liabilities, maximize deductions, and ensure compliance with tax laws and regulations. Prepare and file tax returns, including income tax, payroll tax, sales tax, and property tax filings."
82,Generative AI Solutions,generative AI,"['neural networks', 'scripting', 'neural networks']",Al Horreya Street,Sohag,Asyut,Egypt,"53 Al Horreya Street, Sohag, Asyut, Egypt",10,2024-03-07,900,open,"Implement generative AI systems that can autonomously create art, music, stories, and designs in various styles, genres, and formats, mimicking human creativity and imagination."
83,Financial Statement Analysis,accounting,"['audit', 'audit', 'audit']",Lebanon Street,Bir al-Abed,North Sinai,Egypt,"10 Lebanon Street, Bir al-Abed, North Sinai, Egypt",4,2024-05-14,415,done,"Financial Advisory Services: Provide personalized financial advisory services to individuals and families, including investment advice, retirement planning, estate planning, and wealth management. Develop customized financial plans and investment portfolios tailored to clients' financial goals, risk tolerance, and time horizon."
84,Social Media Marketing Campaign,social media management,['posts'],Abu Bakr El Seddik Street,Zefta,Gharbia,Egypt,"37 Abu Bakr El Seddik Street, Zefta, Gharbia, Egypt",3,2024-01-18,695,done,"Monitor social media performance metrics, such as reach, engagement, clicks, conversions, and ROI, using analytics tools to measure campaign effectiveness and optimize strategies for maximum impact."
